id,price,accommodates,bedrooms,bathrooms,beds,neighbourhood_cleansed,room_type,property_type,minimum_nights,latitude,longitude,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,reviews_per_month,host_is_superhost,host_response_rate,host_acceptance_rate,host_response_time,host_total_listings_count,instant_bookable,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,n_amenities,amen_wifi,amen_kitchen,amen_hot_water,amen_hair_dryer,amen_bed_linens,amen_hangers,amen_essentials,amen_cooking_basics,amen_refrigerator,amen_dishes_and_silverware,amen_iron,amen_heating,amen_dedicated_workspace,amen_self_check_in,amen_long_term_stays_allowed,amen_oven,amen_shampoo,amen_dishwasher,amen_hot_water_kettle,amen_room_darkening_shades,amen_tv,amen_dining_table,amen_wine_glasses,amen_washer,amen_elevator,amen_lockbox,amen_microwave,amen_freezer,amen_stove,amen_bathtub,text_name_len,text_desc_len,text_luxury,text_view,text_central,text_modern,text_terrace,text_renovated,text_lake,text_river,text_quiet,text_design,text_spacious,text_charming
31658829,120.0,4,2.0,1.0,2.0,Alt-Wiedikon,Entire home/apt,Entire rental unit,30,47.36161,8.51423,27,57,87,362,0,0,0,,0,,17.0,,2,0,,,,,,,,11,1,1,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,30,131,0,0,0,0,0,0,0,0,0,0,0,1
31917101,218.0,4,2.0,1.0,2.0,Gewerbeschule,Entire home/apt,Entire rental unit,5,47.38309,8.52927,28,58,88,178,10,1,0,0.26,0,20.0,10.0,4.0,8,0,4.9,4.9,4.6,4.4,4.8,5.0,4.6,46,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,10,348,0,0,0,0,0,0,0,0,0,0,0,1
32053770,227.0,4,1.0,1.0,2.0,Mühlebach,Entire home/apt,Entire rental unit,2,47.35796,8.55521,3,16,18,63,227,11,1,2.83,0,100.0,95.0,1.0,252,1,4.81,4.89,4.87,4.95,4.88,4.87,4.73,31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,1,49,382,0,0,1,1,0,0,1,0,0,0,1,0
32087275,97.0,2,1.0,1.0,1.0,Mühlebach,Entire home/apt,Entire rental unit,13,47.35694,8.5561,28,58,88,363,16,2,1,0.26,0,,100.0,,2,0,4.75,4.88,4.56,4.69,4.81,5.0,4.75,35,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,0,1,1,48,506,0,0,0,0,0,0,1,0,0,0,0,0
32523536,47.0,2,1.0,1.0,1.0,Alt-Wiedikon,Private room,Private room in rental unit,1,47.3669,8.5214,17,47,72,327,396,74,5,5.23,1,100.0,99.0,1.0,4,1,4.55,4.68,4.36,4.7,4.83,4.61,4.45,19,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,14,154,0,0,0,0,0,0,0,0,1,0,0,0
32585235,74.0,3,1.0,1.0,0.0,Witikon,Private room,Private room in home,1,47.35655,8.60086,30,60,90,365,7,0,0,0.09,0,100.0,100.0,2.0,4,1,3.86,4.29,4.86,4.57,4.86,4.14,3.71,25,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,47,485,0,1,0,0,0,0,0,0,1,0,0,0
32626611,107.0,2,1.0,1.0,1.0,Enge,Entire home/apt,Entire rental unit,2,47.36376,8.53257,0,0,0,45,42,9,0,0.53,0,100.0,95.0,1.0,252,1,4.69,4.76,4.79,4.83,4.81,4.9,4.67,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,0,50,471,0,0,1,1,0,0,1,0,0,0,0,1
32649111,543.0,2,1.0,1.5,1.0,Altstetten,Entire home/apt,Entire loft,1,47.38631,8.48693,0,0,0,236,63,4,0,0.81,1,0.0,79.0,4.0,1,0,4.98,5.0,4.95,4.98,4.97,4.68,4.63,52,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,0,0,1,1,0,1,20,449,0,0,0,0,1,0,0,0,0,0,0,1
33085569,168.0,2,1.0,1.0,1.0,Escher Wyss,Hotel room,Room in hotel,1,47.38848,8.52261,30,60,90,297,481,160,4,6.13,1,95.0,100.0,1.0,2,1,4.74,4.79,4.83,4.85,4.68,4.67,4.62,13,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,47,417,0,0,0,0,0,0,0,0,0,1,0,0
33148119,246.0,6,2.0,2.0,3.0,Mühlebach,Entire home/apt,Entire rental unit,2,47.36124,8.55203,11,13,13,58,55,15,2,0.87,0,100.0,95.0,1.0,252,1,4.89,4.89,4.89,4.89,4.95,4.93,4.76,23,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,49,456,0,0,0,1,0,0,1,0,0,0,1,0
